question,option_a,option_b,option_c,option_d,correct_option,time_limit_seconds,tag
What is the SI unit of energy?,Joule,Newton,Watt,Volt,A,15,physics
"In E=mc², what does c represent?",Speed of light,Electric charge,Capacitance,Current,A,15,physics
What currency tracks engagement in Jules?,Joules,Points,Coins,Stars,A,10,club
What triggers automatic joule crediting for an event?,Scanning a QR code,Manual entry only,An email confirmation,Nothing,A,15,club
How long does each question last in Surge Mode?,15 seconds,60 seconds,5 minutes,Unlimited,A,10,club
Which unit measures electrical power?,Watt,Ohm,Farad,Tesla,A,15,physics
What does a Joule measure the transfer of?,Energy,Force,Mass,Charge,A,15,physics
What is the standard tier value for a Standard Meeting?,10 Joules,25 Joules,50 Joules,100 Joules,A,15,club
What is the standard tier value for an Expert Session?,25 Joules,10 Joules,50 Joules,5 Joules,A,15,club
What is the standard tier value for a Volunteer Task?,50 Joules,10 Joules,25 Joules,5 Joules,A,15,club
Which ancient concept does the app's philosophy pair with modern physics?,Shakti,Dharma,Karma,Moksha,A,20,philosophy
What does the Node Dashboard track?,Season and lifetime joules,Only exam scores,Attendance photos,Nothing,A,15,club
What is the highest tier a student can reach?,Plasma,Gold,Diamond,Platinum,A,15,club
Which tier comes right after Volt?,Current,Plasma,Ember,Spark,A,15,club
What happens to Season Joules at the end of a season?,They reset to zero,They double,They convert to cash,Nothing,A,15,club
What stays permanent even after a season resets?,Lifetime joules,Season joules,The energy bar,Nothing,A,15,club
Where do the Top 10 scorers from a Surge get permanently archived?,Catalyst Records,The Node Dashboard,The System Ledger,Nowhere,A,15,club
Who can perform a Force Reset on a student account?,An authorized admin,Any student,No one,A random visitor,A,15,club
What does the System Ledger's health graph track?,Month over month engagement,Weather patterns,Server uptime,Exam grades,A,15,club
What is the primary purpose of the decaying energy bar in Surge Mode?,To discourage looking away or switching tabs,To decorate the screen,To track wifi speed,To count calories,A,15,club
