question,option_a,option_b,option_c,option_d,correct_option,time_limit_seconds,tag
What does NPV stand for in financial management?,Net Present Value,Net Profit Value,New Project Valuation,Net Payable Value,A,20,finance
Which financial statement shows a company's assets liabilities and equity at a point in time?,Income Statement,Balance Sheet,Cash Flow Statement,Statement of Retained Earnings,B,20,finance
Working capital is calculated as:,Total Assets minus Total Liabilities,Current Assets minus Current Liabilities,Revenue minus Expenses,Fixed Assets minus Depreciation,B,20,finance
ROI stands for:,Rate of Interest,Return on Investment,Ratio of Income,Revenue over Investment,B,20,finance
A company's breakeven point is where:,Total revenue equals total costs,Profit is maximized,Fixed costs are zero,Sales exceed all expenses,A,20,finance
Which of these is considered a fixed cost?,Raw materials,Sales commission,Factory rent,Shipping charges,C,20,finance
The time value of money concept states that:,Money loses value over time due to inflation only,A rupee today is worth more than a rupee in the future,Money has the same value regardless of when it is received,Only foreign currency has time value,B,20,finance
Which ratio measures a company's ability to pay short-term obligations?,Debt-to-Equity Ratio,Current Ratio,Price-to-Earnings Ratio,Gross Margin Ratio,B,20,finance
Depreciation is best described as:,A cash outflow every month,The allocation of an asset's cost over its useful life,An increase in asset value over time,A type of short-term liability,B,20,finance
In capital budgeting the payback period refers to:,The time taken to repay a bank loan,The time taken for an investment to recover its initial cost,The interest rate charged on borrowed capital,The depreciation schedule of an asset,B,20,finance
